Sample_name,Ecological_enviroment1,meanpres,meanwind,meantemp,meanhum1,ssd,meanmaxtem,maxprec,meanmintem,meanprec,Shannon_Index,Virus_1,Virus_2,Virus_3,Virus_4,Virus_5,Virus_6,Virus_7,Virus_8,Virus_9,Virus_10,Virus_11,Virus_12,Virus_13,Virus_14,Virus_15,Virus_16,Virus_17,Virus_18,Virus_19,Virus_20,Virus_21,Virus_22,Virus_23,Virus_24,Virus_25,Virus_26,Virus_27,Virus_28,Virus_29,Virus_30,Virus_31,Virus_32,Virus_33,Virus_34,Virus_35,Virus_36,Virus_37,Virus_38,Virus_39,Virus_40,Virus_41,Virus_42,Virus_43,Virus_44,Virus_45,Virus_46,Virus_47,Virus_48,Virus_49,Virus_50,Virus_51,Virus_52,Virus_53,Virus_54,Virus_55,Virus_56,Virus_57,Virus_58,Virus_59,Virus_60,Virus_61,Virus_62,Virus_63,Virus_64,Virus_65,Virus_66,Virus_67,Virus_68,Virus_69,Virus_70,Virus_71,Virus_72,Virus_73,Virus_74,Virus_75,Virus_76,Virus_77,Virus_78,Virus_79,Virus_80,Virus_81,Virus_82,Virus_83,Virus_84,Virus_85,Virus_86,Virus_87,Virus_88,Virus_89,Virus_90,Virus_91,Virus_92,Virus_93,Virus_94,Virus_95,Virus_96,Virus_97,Virus_98,Virus_99,Virus_100,Virus_101,Virus_102,Virus_103,Virus_104,Virus_105,Virus_106,Virus_107,Virus_108,Virus_109,Virus_110,Virus_111,Virus_112,Virus_113,Virus_114,Virus_115,Virus_116,Virus_117,Virus_118,Virus_119,Virus_120,Virus_121,Virus_122,Virus_123,Virus_124,Virus_125,Virus_126,Virus_127,Virus_128,Virus_129,Virus_130,Virus_131,Virus_132,Virus_133,Virus_134,Virus_135,Virus_136,Virus_137,Virus_138,Virus_139,Virus_140,Virus_141,Virus_142,Virus_143,Virus_144,Virus_145,Virus_146,Virus_147,Virus_148,Virus_149,Virus_150,Virus_151,Virus_152,Virus_153,Virus_154,Virus_155,Virus_156,Virus_157,Virus_158,Virus_159,Virus_160,Virus_161,Virus_162,Virus_163,Virus_164,Virus_165,Virus_166,Virus_167,Virus_168,Virus_169,Virus_170,Virus_171,Virus_172,Virus_173,Virus_174,Virus_175,Virus_176,Virus_177,Virus_178,Virus_179,Virus_180,Virus_181,Virus_182,Virus_183,Virus_184,Virus_185,Virus_186,Virus_187,Virus_188,Virus_189,Virus_190,Virus_191,Virus_192,Virus_193,Virus_194,Virus_195,Virus_196,Virus_197,Virus_198,Virus_199,Virus_200,Virus_201,Virus_202,Virus_203,Virus_204,Virus_205,Virus_206,Virus_207,Virus_208,Virus_209,Virus_210,Virus_211,Virus_212,Virus_213,Virus_214,Virus_215,Virus_216,Virus_217,Virus_218,Virus_219,Virus_220,Virus_221,Virus_222,Virus_223,Virus_224,Virus_225,Virus_226,Virus_227,Virus_228,Virus_229,Virus_230,Virus_231,Virus_232,Virus_233,Virus_234,Virus_235,Virus_236,Virus_237,Virus_238,Virus_239,Virus_240,Virus_241,Virus_242,Virus_243,Virus_244,Virus_245,Virus_246,Virus_247,Virus_248,Virus_249,Virus_250,Virus_251,Virus_252,Virus_253,Virus_254,Virus_255,Virus_256,Virus_257,Virus_258,Virus_259,Virus_260,Virus_261,Virus_262,Virus_263,Virus_264,Virus_265,Virus_266,Virus_267,Virus_268,Virus_269,Virus_270,Virus_271,Virus_272,Virus_273,Virus_274,Virus_275,Virus_276,Virus_277,Virus_278,Virus_279,Virus_280,Virus_281,Virus_282,Virus_283,Virus_284,Virus_285,Virus_286,Virus_287,Virus_288,Virus_289,Virus_290,Virus_291,Virus_292,Virus_293,Virus_294,Virus_295,Virus_296,Virus_297
Sample_1,Farmland,1012.780029,2.170079947,16.04540062,77.50299835,148.2149963,34.53850174,180.1640015,-2.208679914,94.18840027,3.579345089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726843773,0,0,0,0,11.84595207,0,0,0,0,0,0,11.41675091,0,0,791.981685,0.613082269,0,1530.970034,1.841583842,0,1.232420479,0,0,0,1011.782183,0,0,0,0,0,0,0,0,0,0,9.202072911,120.777207,0,64.56293091,0,0,0,17.05089981,2.892867232,12.0777207,151.7457216,0,0,0,3.426303743,0,0,0,0,52.43041542,11.32286315,0,0,21.95949217,0,0,0,104.1999433,0,0,0,0,0,0,0,0,0,0,0.366639637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.654391568,4586.862295,0,0,0.894645977,0,0,0,0,14.79590842,0,0,0,0,0,0,0,0,0,0,0,0,0,77.01734936,14.07113091,3.414196663,0,0,0,0,0,0,0,0,0,0,0,0,202.8319506,0,0,161.0362759,0,0,0,0,0,0,25.65179617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.407927261,0,0,0,0,0,0,0,0,0,0,0,0,0.224180431,0,3.15462854,0,0,0,1.050236582,2.317068719,1.23557245,0,0,0,0,0,257.4461517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53988404,0,0,0,0,1097.3929,0,0,0,0,0,0,3.500788607,0,0,243.3706125,0,25.81497553,0,0,184.9400982,0,0,0,0,0,0,0,0,0,16.80378532,615.643108,585.7160125,0,0,0,0,2242.688687,0,0,40.63532197,0,0,0,0,0,0,0,0,0,0,0.222425796,0.447115991,1.567807972,126.1056131,126.2176217,182.2506356,0,0,0,0,0,0,88.99373144,70.27037496,0,0
Sample_2,Farmland,1012.780029,2.170079947,16.04540062,77.50299835,148.2149963,34.53850174,180.1640015,-2.208679914,94.18840027,2.273210399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096543087,0,0,0,0,0,10.06641799,0,0,0,0,0,0,11.02512447,0,0,438.860281,0,0,847.6841238,0,0,2.94948982,0,0,0,635.3622791,0,0,0,0,0,0,0,0,0,0,13.45841281,109.4144077,0,23.08847945,0,0,0,27.2047061,20.77006005,0,91.4089751,2.569333354,2.604054075,0,8.200000067,0,0,8.75909098,0,80.66511694,9.032812574,0,0,7.007272784,10.70555564,0,0,64.23333386,0,0,0,0,0,0,0,0,0,0,17336.95542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.123415995,94.12995468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369333975,0,0,0,0,0,0,24.57623208,0,0,0,0,26.69437251,0,0,0,0,0,0,15.62432445,22.34202917,0,158.8671769,23.71692327,14.82307704,143.4046523,12.0437501,0,0,0,0,20.46371698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.340602217,0,0,0,0,0,0,0,0,0.88679246,0,0,0,0.357679817,0,3.774906747,0,0,0,1.675652188,0,1.971355515,1.016886552,0,0,0,0,199.0388174,0,0,0,0,39.57232175,0,0,0,0,0,0,0,0,0,0,0,56.45987307,0,29.8374196,0,0,880.549676,0,0,0,0,0,73.8000006,5.585507292,0,0,263.694739,0,20.5938933,0,0,189.689064,0,0,0,0,0,0,0,0,0,26.810435,385.4000031,525.2354025,0,0,0,0,1969.429374,0,0,36.01869188,0,0,0,29.64615409,0,0,0,0,0,0,0.532320446,1.070060166,2.680111287,184.1985309,95.48198276,101.5425158,12.51298711,0,11.17101458,18.64838725,6.370247986,0,87.89824633,52.55454588,0,0
Sample_3,Farmland,1012.780029,2.170079947,16.04540062,77.50299835,148.2149963,34.53850174,180.1640015,-2.208679914,94.18840027,2.52285412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7694.152099,0,0,2.870226263,0,5.993267103,0,0,0,0,0,0,8.740181193,0,0,302.7060908,0.713411744,0,626.4570958,0.35715912,0,0.3585258,0,0,0,345.0000204,0,0,0,0,0,0,0,0,0,0,7.138647039,63.12484762,0,6.476595096,0,1.456394959,0,11.57405641,0,3.513552839,41.44190529,0,0,0,1.993505157,0,0,2.129425963,2.129425963,15.25263248,0,0,0,10.22124462,0,0,0,44.09164347,0,0,0.070517869,0,0,0,0,0,0,0,0.497745912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126443647,0,0,2.193954023,1380.162415,0,0,0,0,0,0,0,5.347774159,0,0,0,0,0,0,0,0,0,0,0,0,0,8.962105793,1.819315386,0,0,0,0,0,0,0,0,0,0,0,0,0,139.469273,0,0,93.69474238,0,0,0,0,0,0,9.949884147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923477832,0,0,0,0,0,0,0.129293573,0,0.129353073,0,0,0,0.521734064,0,1.83543805,0,0,0,1.222105335,0.674062895,2.156656474,0,0,0,0,0,107.2558235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27449015,0,9.067233134,0,0,376.0199595,0,0,0,0,0,0,2.036842226,0,0,73.96953346,0,27.8938546,0,0,65.87911574,0,0,0,0,0,0,0,0,0,4.888421342,263.6719299,251.2345747,0,0,0,0,732.3662432,0,0,21.01564315,0,0,0,0,0,0,0,0,0,0,0.51765051,0,0.781875458,53.73669048,35.45206469,38.71219895,0,0,0,6.80042485,0,0,39.45041785,33.21904503,0,0
Sample_4,Farmland,1012.780029,2.170079947,16.04540062,77.50299835,148.2149963,34.53850174,180.1640015,-2.208679914,94.18840027,2.568682815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.969328372,0,0,0,0,0,0,10.56872893,0,0,515.5006329,3.750720838,0,1791.132431,0,0,0,0,0,0,1238.646482,0,0,0,0,0,0,0,0,0,0,0,9.392694981,0,0.85125807,0,0.957113996,0,4.34642356,0,0,16.57770524,0,0,0,0,0,0,0,0,1.43196125,0,0,0,1.679300012,0,0,0,43.4642356,0,0,0,0,80.19091238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678505055,7.065441985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6503216,0,0,21.47941875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.49669436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.529738878,0,0,0,0,217.7529419,0,0,0,0,0,0,1.338572473,0,0,50.00021088,0,0,0,0,24.53352361,0,0,0,0,0,0,0,0,0,1.606286968,21.25131873,1.634716826,0,0,0,0,86.43002813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428194254,12.22431626,9.985027097,14.37963483,0,0,0,0,0,0,17.82414925,1.679300012,0,0
Sample_5,Farmland,1012.780029,2.170079947,16.04540062,77.50299835,148.2149963,34.53850174,180.1640015,-2.208679914,94.18840027,2.195741604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585707604,0,0,0,0,3.112742439,0,0,0,0,0,0,12.10510948,0,0.487845014,7275.448622,33.59444394,0,12490.75274,0.989327372,0,0.496556532,0,0,0,7245.814501,0,0,0,0,0,0,0,0,0,0,4.943496139,52.7864842,0,23.32213905,0,12.10260065,0,9.160007553,0,0,74.86544634,0,0,0,0,0,0,0,0,6.035663891,0,0,0,21.23456296,0,0,0,41.98336795,0,0,0,0,0,0,0,0,0,0,2.363573919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8598738,34.8038075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28406727,0,1.375619509,0,0,0,0,0,0,0,0,0,0,0,0,133.7291179,0,0,108.64195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177600511,0,0,0,0,0,0,0,0,0,0,0,0,0.180649801,0,1.089459853,0,0,0,5.924135319,0,0.995652995,0,0,0,0,0,85.7997418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87771927,0,0,0,0,616.1773292,0,0,0,0,0,0,5.642033637,0,0,67.3226119,0,2.971758175,0,0,42.57972261,0,6.228805136,0,0,0,0,0,0,0,6.770440365,144.6956945,189.4824571,0,0,0,0,1107.184399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360296456,0.9024115,62.97505192,19.28965554,23.31139647,0,0,0,0,0,0,30.73423587,17.69546914,0,0
Sample_6,Farmland,1013.369995,2.12154007,15.98009968,77.24019623,165.8999939,34.37049866,183.7350006,-2.888940096,90.2661972,3.895194825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929780595,0,0,0,0,3.294211988,0,0,0,0,0,0,11.14541723,0,0,210.8038117,0,0,387.9150184,0.785253074,0,0,0.394128934,0,0,241.5287288,0,0,0,0,0,0,0,0,0,0,4.904715627,47.13514848,0,31.32689336,0,0,0,27.26444863,0,0,55.46101516,2.059980563,2.087818138,0,6.574406053,0,0,2.340887004,0,21.55793613,9.65615889,0,0,14.04532202,0,0,0,36.35259818,0,0,0,0,0.155705258,0,0,0,0,0,0.156335484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54679849,963.4443657,0,0,0.429162617,0,0,0,0,2.437564008,0,0,0,0,0,0,0,0,0,0,0,0,0,17.91287446,0,2.183724979,0,0,0,0,0,0,0,0,0,0,0,0,162.7541895,0,0,76.65043956,0,0,0,0,0,0,2.734487473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.268692409,0,0,0,0,0,0,0.284265947,0,0.284396764,0,0.142263851,0,0,0,1.873583068,0,0,0,2.686931169,0,0.790273873,0,0,0,0,0,80.29858446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.904402888,0,0,0,0,306.9507462,0,0,0,0,0,0,2.239109308,0,0,106.8711721,0,9.435025481,0,0,91.73350946,0,0,0,0,0,0,0,0,0,8.060793508,295.3246471,161.3347609,0,0,0,0,739.8921014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142263851,0.857928046,1.146025348,45.44074772,20.87818138,48.10733052,0,0,0,0,0,0,24.39450667,22.47251524,0,0
Sample_7,Farmland,1013.369995,2.12154007,15.98009968,77.24019623,165.8999939,34.37049866,183.7350006,-2.888940096,90.2661972,3.961560923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436929848,0,0,0,0,3.87010535,0,0,0,0,0,0,7.94661632,0,0,205.4495937,0,0,388.2009736,0,0,1.111273108,0.370424369,0,0,231.8799121,0,0,0,0,0,0,0,0,0,0,1.843890194,61.52811557,0,29.44276277,0,0,0,0,12.17298766,1.815079409,70.74155647,0,0,0,4.119329156,0,0,0,2.200096254,6.753783849,0,0,0,2.640115505,0,0,0,62.63803452,0,0,0,0,0,0,0,0,0,0,0.22039922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133514174,56.34274148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525327874,0.939846943,1.026193306,0,0,0,0,0,0,0,0,5.80825411,0,0,0,126.3627803,0,0,63.03531592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.312188703,0,0,0,0,0,0,0,0,0.267291952,0,0,0,0.269524553,0,1.625444247,0,0,0,1.893995905,0,0,0,0,0,0,0,113.6812893,0,0,0,0,3.889455877,0,0,0,0,0,0,0,0,0,0,0,14.79809964,0,9.36815179,0,0,413.5015343,0,0,0,0,0,16.47731662,0,0,0,96.07638377,0,22.16890882,0,0,127.0555587,0,0,0,0,0,0,0,0,0,0,262.1424421,226.1621069,0,0,0,0,1087.049393,0,0,21.71309948,0,0,0,0,0,0,0,0,0,0,0.534830029,0.53755244,1.211735906,56.58776982,40.55312554,66.08193299,5.657390367,0,0,0,4.800210008,0,58.59203707,10.56046202,0,0
Sample_8,Farmland,1013.369995,2.12154007,15.98009968,77.24019623,165.8999939,34.37049866,183.7350006,-2.888940096,90.2661972,3.91492926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081304801,0.24415905,0,0,0,0,2.335649423,0,0,0,0,0,0,6.660926132,0,0,0,0,0,0,0.618618992,0,1.034976927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.727827721,20.62937061,0,18.69635739,0,0,0,21.95612229,0,5.071386942,32.24881953,1.081895881,0,0,6.905718389,0,0,1.229427137,3.688281412,7.548110797,2.535693471,0,0,2.95062513,0,0,0,36.59353715,0,0,0,0,0.081775955,0,0,0,0,0,0.123160422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.160811332,15.77972564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525192175,0,0,0,0,0,0,0,0,0,0,0,0,0,122.6423957,0,0,49.06272018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666313613,0,0,0,0,0,0,0,0,0.224046547,0,0.074716566,0,0,0,1.135385136,0,0,0,0.70558427,0,0,0,0,0,0,0,20.81937797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.40390182,0,3.140988041,0,0,170.8822302,0,0,0,0,0,0,1.175973784,0,0,30.50458311,0,12.38812077,0,0,27.89262818,0,0,0,0,0,0,0,0,0,1.41116854,124.9446128,56.00965401,0,0,0,0,366.2564955,0,0,1.516676469,0,0,0,0,0,0,0,0,0,0,0,0.150193783,0.300944612,26.8485191,13.88920388,34.98345962,0,0,0,0,0,0,19.92966096,20.65437591,0,0
Sample_9,Farmland,1013.369995,2.12154007,15.98009968,77.24019623,165.8999939,34.37049866,183.7350006,-2.888940096,90.2661972,3.850753654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.217368828,0,0,0,0,0,4.461378443,0,0,0,0,0,0,17.1259366,0,0,0.680921446,0.342621007,0,0.343056358,0,0,1.03310722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.856770883,46.90423515,0,26.12761486,0,0,0,9.52889483,0,0,93.45646853,0,1.824225362,0,1.914789741,0,0,0,0,14.65036802,0,0,0,0,0,0,0,34.409898,0,0,0,0,1.496517455,0,0,0,0,0,0.1365977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.214647392,29.86013126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.846036309,0,0,0,0,0,0,7.043096179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.8024828,0,0,41.85819434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.108516506,0,0,0,0,0,0,0,0,0.496981783,0,0,0,0.250566453,0,1.13333404,0,0,0,0,0,0,0,0,0,0,0,72.82499667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.19651933,0,13.93472792,0,0,336.140705,0,0,0,0,0,0,1.956415605,0,0,91.34842788,0,10.30478449,0,0,59.05929608,0,0,0,0,0,0,0,0,0,7.043096179,217.4218334,148.1335568,0,0,0,0,587.0323742,0,0,7.569682809,0,0,0,0,0,0,0,0,0,0,0.248605298,0.374806136,0.250334125,39.70372846,26.7553053,74.36722312,0,0,0,0,0,0,28.4195109,17.18088613,0,0
Sample_10,Farmland,1013.25,2.154249907,16.70280075,76.84649658,142.7779999,34.68259811,189.9730072,-0.871950984,104.3779984,1.993466626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077986948,0,0,0,0,0,0,72.53789241,0,0,0,0,0,0,0,0,1.473036611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.340216332,0,18.62678553,0,0,26.24683416,0,0,0,14.80590645,0,0,0,0,0,0,0,0,8.952408549,0,0,0,5.249366831,0,0,0,16.98324563,0,0,0,0,6318.999719,0,0,0,0,0,0.146073957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325597685,27.14188749,0,0,0,0,0,0,0,0,0,0.268447397,0,0,0,0,2591.934611,0,0,0,0,0,0,11.71597815,0,2.040389934,0,0,0,0,0,0,0,0,0,0,0,0,26.44719167,0,0,80.57167694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317131276,0,0,0,0,0,0,0.531214675,0,0.531459136,0,0,0,0,0,0.538647716,0,0,0,2.510566745,0,0,0,0,0,0,0,68.37991004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.450714212,0,0,225.6184817,0,0,0,0,0,0,0,0,0,151.9553556,0,8.815730556,0,0,40.60057159,0,0,0,0,0,0,0,0,0,0,286.1601742,143.0800871,0,0,0,0,392.0169358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535401346,14.86033993,15.60622571,20.74600065,26.24683416,0,0,0,0,0,0,36.74556782,0,0
